sample_index,time_s,packet_index,packet_sequence,sequence_gap_before,packet_tick_ms,packet_flags,stm32_dropped_packets,ch1_raw,ch2_raw,ch3_raw,ch4_raw,ch5_raw,ch6_raw
79,0.790000000,0,48,0,122881,full,0,6,0,1,4,2352,0
80,0.800000000,0,48,0,122881,full,0,4,0,1,1,2456,8
81,0.810000000,0,48,0,122881,full,0,1,3,2,0,2359,2
82,0.820000000,0,48,0,122881,full,0,0,4,0,6,2463,0
83,0.830000000,0,48,0,122881,full,0,0,0,2,8,2363,1
84,0.840000000,0,48,0,122881,full,0,13,0,3,3,2457,5
85,0.850000000,0,48,0,122881,full,0,4,10,0,3,2348,8
86,0.860000000,0,48,0,122881,full,0,6,18,1,4,2451,9
87,0.870000000,0,48,0,122881,full,0,0,0,1,2,2347,16
88,0.880000000,0,48,0,122881,full,0,0,1,2,9,2458,0
89,0.890000000,0,48,0,122881,full,0,5,0,2,3,2368,4
90,0.900000000,0,48,0,122881,full,0,4,13,2,1,2443,8
91,0.910000000,0,48,0,122881,full,0,6,3,0,2,2369,8
92,0.920000000,0,48,0,122881,full,0,2,2,1,6,2442,14
93,0.930000000,0,48,0,122881,full,0,0,0,0,0,2350,0
94,0.940000000,0,48,0,122881,full,0,10,0,2,3,2435,0
95,0.950000000,0,48,0,122881,full,0,0,1,2,2,2383,0
96,0.960000000,0,48,0,122881,full,0,0,3,0,0,2419,4
97,0.970000000,0,48,0,122881,full,0,0,1,0,0,2377,0
98,0.980000000,0,48,0,122881,full,0,3,2,0,6,2442,0
99,0.990000000,0,48,0,122881,full,0,0,0,0,5,2371,5
100,1.000000000,0,48,0,122881,full,0,0,1,0,4,2450,18
101,1.010000000,0,48,0,122881,full,0,5,12,0,2,2357,6
102,1.020000000,0,48,0,122881,full,0,0,0,0,7,2459,13
103,1.030000000,0,48,0,122881,full,0,0,4,4,4,2357,2
104,1.040000000,0,48,0,122881,full,0,11,0,2,0,2448,4
105,1.050000000,0,48,0,122881,full,0,4,0,1,2,2367,10
106,1.060000000,0,48,0,122881,full,0,1,3,3,0,2434,2
107,1.070000000,0,48,0,122881,full,0,0,3,2,6,2403,2
108,1.080000000,0,48,0,122881,full,0,0,1,1,10,2413,2
109,1.090000000,0,48,0,122881,full,0,12,0,2,8,2416,4
110,1.100000000,0,48,0,122881,full,0,5,13,1,0,2399,5
111,1.110000000,0,48,0,122881,full,0,4,3,0,0,2416,7
112,1.120000000,0,48,0,122881,full,0,0,1,0,4,2395,10
113,1.130000000,0,48,0,122881,full,0,0,4,1,0,2418,0
114,1.140000000,0,48,0,122881,full,0,9,0,1,5,2401,12
115,1.150000000,0,48,0,122881,full,0,5,0,1,1,2422,9
116,1.160000000,0,48,0,122881,full,0,5,10,1,0,2379,7
117,1.170000000,0,48,0,122881,full,0,1,0,2,6,2439,14
118,1.180000000,0,48,0,122881,full,0,0,2,4,12,2393,1
119,1.190000000,0,48,0,122881,full,0,0,4,1,0,2421,1
120,1.200000000,0,48,0,122881,full,0,3,1,0,4,2391,1
121,1.210000000,0,48,0,122881,full,0,0,5,7,0,2429,1
122,1.220000000,0,48,0,122881,full,0,0,1,1,10,2383,0
123,1.230000000,0,48,0,122881,full,0,2,0,0,4,2434,5
124,1.240000000,0,48,0,122881,full,0,0,2,0,4,2391,1
125,1.250000000,0,48,0,122881,full,0,0,0,0,9,2433,6
126,1.260000000,0,48,0,122881,full,0,6,3,0,2,2377,9
127,1.270000000,0,48,0,122881,full,0,0,0,0,6,2455,14
128,1.280000000,0,48,0,122881,full,0,0,1,0,0,2373,0
129,1.290000000,0,48,0,122881,full,0,3,0,1,16,2453,4
130,1.300000000,0,48,0,122881,full,0,4,1,1,1,2375,9
131,1.310000000,0,48,0,122881,full,0,1,4,2,0,2452,2
132,1.320000000,0,48,0,122881,full,0,0,1,2,4,2376,0
133,1.330000000,0,48,0,122881,full,0,0,1,3,17,2444,0
134,1.340000000,0,48,0,122881,full,0,11,0,1,5,2376,10
135,1.350000000,0,48,0,122881,full,0,6,8,0,1,2441,6
136,1.360000000,0,48,0,122881,full,0,6,5,0,0,2391,14
137,1.370000000,0,48,0,122881,full,0,0,0,0,5,2445,1
138,1.380000000,0,48,0,122881,full,0,0,1,1,8,2383,0
139,1.390000000,0,48,0,122881,full,0,8,0,1,4,2449,12
140,1.400000000,0,48,0,122881,full,0,4,0,4,0,2372,8
141,1.410000000,0,48,0,122881,full,0,4,8,2,0,2453,8
142,1.420000000,0,48,0,122881,full,0,1,0,0,4,2361,7
143,1.430000000,0,48,0,122881,full,0,0,1,4,0,2456,1
144,1.440000000,0,48,0,122881,full,0,4,0,1,2,2359,7
145,1.450000000,0,48,0,122881,full,0,0,1,1,2,2468,1
146,1.460000000,0,48,0,122881,full,0,0,1,0,0,2341,2
147,1.470000000,0,48,0,122881,full,0,0,0,3,12,2484,0
148,1.480000000,0,48,0,122881,full,0,0,0,0,5,2342,0
149,1.490000000,0,48,0,122881,full,0,0,2,1,6,2491,6
150,1.500000000,0,48,0,122881,full,0,0,0,0,6,2340,10
151,1.510000000,0,48,0,122881,full,0,4,0,0,3,2476,18
152,1.520000000,0,48,0,122881,full,0,0,0,1,5,2349,6
153,1.530000000,0,48,0,122881,full,0,0,0,2,0,2465,6
154,1.540000000,0,48,0,122881,full,0,4,0,2,7,2355,10
155,1.550000000,0,48,0,122881,full,0,6,5,1,3,2470,9
156,1.560000000,0,48,0,122881,full,0,0,2,2,1,2356,2
157,1.570000000,0,48,0,122881,full,0,0,3,0,6,2467,6
158,1.580000000,0,48,0,122881,full,0,0,0,0,2,2344,0
159,1.590000000,0,48,0,122881,full,0,6,0,2,4,2477,12
160,1.600000000,0,48,0,122881,full,0,5,7,0,1,2343,11
161,1.610000000,0,48,0,122881,full,0,6,0,0,1,2470,11
162,1.620000000,0,48,0,122881,full,0,0,3,0,6,2347,0
163,1.630000000,0,48,0,122881,full,0,0,0,2,4,2475,0
164,1.640000000,0,48,0,122881,full,0,2,0,1,4,2346,3
165,1.650000000,0,48,0,122881,full,0,6,12,2,3,2469,8
166,1.660000000,0,48,0,122881,full,0,9,3,2,0,2337,10
167,1.670000000,0,48,0,122881,full,0,0,4,0,4,2487,16
168,1.680000000,0,48,0,122881,full,0,1,0,1,10,2347,0
169,1.690000000,0,48,0,122881,full,0,0,0,0,4,2475,4
170,1.700000000,0,48,0,122881,full,0,3,0,0,7,2351,0
171,1.710000000,0,48,0,122881,full,0,0,4,0,2,2469,4
172,1.720000000,0,48,0,122881,full,0,0,0,2,0,2356,0
173,1.730000000,0,48,0,122881,full,0,1,2,0,5,2479,0
174,1.740000000,0,48,0,122881,full,0,0,0,0,2,2339,8
175,1.750000000,0,48,0,122881,full,0,0,2,0,4,2471,16
176,1.760000000,0,48,0,122881,full,0,5,12,0,1,2344,6
177,1.770000000,0,48,0,122881,full,0,0,0,0,5,2474,6
178,1.780000000,0,48,0,122881,full,0,2,1,2,1,2325,0
179,1.790000000,0,48,0,122881,full,0,5,0,0,4,2477,4
180,1.800000000,0,48,0,122881,full,0,4,0,0,1,2336,9
181,1.810000000,0,48,0,122881,full,0,4,3,4,1,2480,2
182,1.820000000,0,48,0,122881,full,0,0,0,1,2,2338,17
183,1.830000000,0,48,0,122881,full,0,0,0,0,8,2485,2
184,1.840000000,0,48,0,122881,full,0,6,0,0,6,2339,4
185,1.850000000,0,48,0,122881,full,0,3,6,1,1,2479,7
186,1.860000000,0,48,0,122881,full,0,3,0,2,1,2335,9
187,1.870000000,0,48,0,122881,full,0,0,0,0,6,2463,8
188,1.880000000,0,48,0,122881,full,0,0,1,0,1,2349,0
189,1.890000000,0,48,0,122881,full,0,6,0,2,4,2464,0
190,1.900000000,0,48,0,122881,full,0,4,5,1,1,2353,8
191,1.910000000,0,48,0,122881,full,0,3,0,2,2,2452,8
192,1.920000000,0,48,0,122881,full,0,0,0,0,6,2347,1
193,1.930000000,0,48,0,122881,full,0,0,0,2,3,2461,1
194,1.940000000,0,48,0,122881,full,0,14,0,1,0,2346,0
195,1.950000000,0,48,0,122881,full,0,0,1,0,0,2444,0
196,1.960000000,0,48,0,122881,full,0,0,3,0,0,2353,2
197,1.970000000,0,48,0,122881,full,0,0,2,2,0,2453,0
198,1.980000000,0,48,0,122881,full,0,0,2,0,4,2365,5
199,1.990000000,0,48,0,122881,full,0,0,0,0,5,2443,7
200,2.000000000,0,48,0,122881,full,0,0,1,0,5,2378,1
201,2.010000000,0,48,0,122881,full,0,4,13,0,2,2433,7
202,2.020000000,0,48,0,122881,full,0,0,5,0,2,2383,12
203,2.030000000,0,48,0,122881,full,0,0,2,0,0,2418,0
204,2.040000000,0,48,0,122881,full,0,4,0,0,5,2385,15
205,2.050000000,0,48,0,122881,full,0,4,17,0,3,2428,9
206,2.060000000,0,48,0,122881,full,0,1,2,4,1,2383,2
207,2.070000000,0,48,0,122881,full,0,0,2,0,6,2442,14
208,2.080000000,0,48,0,122881,full,0,0,2,2,7,2367,0
209,2.090000000,0,48,0,122881,full,0,13,0,3,4,2453,12
210,2.100000000,0,48,0,122881,full,0,3,7,0,4,2358,11
211,2.110000000,0,48,0,122881,full,0,5,3,0,1,2453,6
212,2.120000000,0,48,0,122881,full,0,0,0,0,4,2355,4
213,2.130000000,0,48,0,122881,full,0,0,0,4,10,2453,0
214,2.140000000,0,48,0,122881,full,0,10,0,0,4,2369,8
215,2.150000000,0,48,0,122881,full,0,3,15,1,3,2436,14
216,2.160000000,0,48,0,122881,full,0,5,5,1,1,2386,6
217,2.170000000,0,48,0,122881,full,0,0,4,0,6,2427,16
218,2.180000000,0,48,0,122881,full,0,0,0,4,2,2409,3
219,2.190000000,0,48,0,122881,full,0,2,0,2,0,2403,0
220,2.200000000,0,48,0,122881,full,0,0,0,1,3,2422,6
221,2.210000000,0,48,0,122881,full,0,0,0,8,0,2402,0
222,2.220000000,0,48,0,122881,full,0,10,0,2,6,2427,13
223,2.230000000,0,48,0,122881,full,0,6,0,2,2,2386,0
224,2.240000000,0,48,0,122881,full,0,0,1,1,0,2428,0
225,2.250000000,0,48,0,122881,full,0,0,2,2,2,2390,0
226,2.260000000,0,48,0,122881,full,0,2,3,0,2,2425,2
227,2.270000000,0,48,0,122881,full,0,0,2,2,2,2387,0
228,2.280000000,0,48,0,122881,full,0,0,1,0,8,2426,3
229,2.290000000,0,48,0,122881,full,0,0,3,2,4,2393,8
230,2.300000000,0,48,0,122881,full,0,0,0,0,5,2435,4
231,2.310000000,0,48,0,122881,full,0,0,2,4,3,2396,3
232,2.320000000,0,48,0,122881,full,0,0,0,0,8,2432,5
233,2.330000000,0,48,0,122881,full,0,0,2,0,12,2392,0
234,2.340000000,0,48,0,122881,full,0,9,0,2,4,2433,0
235,2.350000000,0,48,0,122881,full,0,3,5,0,0,2382,9
236,2.360000000,0,48,0,122881,full,0,5,9,4,2,2440,8
237,2.370000000,0,48,0,122881,full,0,0,1,0,4,2386,0
238,2.380000000,0,48,0,122881,full,0,0,0,0,11,2445,1
239,2.390000000,0,48,0,122881,full,0,10,0,1,6,2384,11
240,2.400000000,0,48,0,122881,full,0,5,12,0,2,2443,6
241,2.410000000,0,48,0,122881,full,0,5,5,0,0,2374,8
242,2.420000000,0,48,0,122881,full,0,0,2,0,5,2446,9
243,2.430000000,0,48,0,122881,full,0,0,0,5,11,2360,0
244,2.440000000,0,48,0,122881,full,0,0,0,0,3,2447,0
245,2.450000000,0,48,0,122881,full,0,0,0,2,1,2373,11
246,2.460000000,0,48,0,122881,full,0,0,2,0,0,2439,2
247,2.470000000,0,48,0,122881,full,0,0,0,5,6,2377,0
248,2.480000000,0,48,0,122881,full,0,1,1,0,6,2435,7
249,2.490000000,0,48,0,122881,full,0,0,0,2,6,2388,8
250,2.500000000,0,48,0,122881,full,0,2,2,0,5,2449,0
251,2.510000000,0,48,0,122881,full,0,4,0,0,1,2374,8
252,2.520000000,0,48,0,122881,full,0,1,0,0,5,2450,14
253,2.530000000,0,48,0,122881,full,0,0,0,1,2,2370,0
254,2.540000000,0,48,0,122881,full,0,6,0,0,4,2468,3
255,2.550000000,0,48,0,122881,full,0,4,5,0,0,2355,9
256,2.560000000,1,49,0,125441,half,0,0,2,1,3,2481,13
257,2.570000000,1,49,0,125441,half,0,0,0,1,6,2347,12
258,2.580000000,1,49,0,125441,half,0,0,1,2,11,2495,1
259,2.590000000,1,49,0,125441,half,0,6,0,1,0,2345,3
260,2.600000000,1,49,0,125441,half,0,4,10,2,0,2477,8
261,2.610000000,1,49,0,125441,half,0,4,5,1,3,2349,8
262,2.620000000,1,49,0,125441,half,0,0,2,0,5,2485,6
263,2.630000000,1,49,0,125441,half,0,0,0,1,0,2333,2
264,2.640000000,1,49,0,125441,half,0,4,1,0,6,2483,8
265,2.650000000,1,49,0,125441,half,0,6,0,0,3,2352,5
